OBJECTID,Name,Address,Postcode,Ward,Toilet opening hours,Male (no. of),Urinals (no. of),Female (no. of),Unisex (no.of),Accessible (no. of),Accessibility info,Changing Place,Automatic opening door,Pull cord monitored (Y/N/Times),Radar Key,Baby change,Family Toilet,Automatic Public Convenience,Attended,Full Time Staffing,geo_shape,geo_point_2d
32,Suspension Bridge Toilets,"Suspension Bridge Road, opposite toll station",BS8 3ZZ,Clifton,7 days a week Winter 08:00-20:30,2,2.4m,2,,Yes,,N,,,,Yes,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.625202492882247, 51.45608089540172]}","51.4560808954, -2.62520249288"
2754,St George's Bristol,"Great George Street (off Park Street), Bristol",BS1 5RR,Hotwells & Harbourside,Monday-Sunday 10:00 to 18:00,,,,,1,YES,,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.6037374161587232, 51.45422502683723]}","51.4542250268, -2.60373741616"
158,JD Weatherspoon - The Robert Fitzharding,"The Robert Fitzharding, 24 Cannon St, Bedminster, BS3 1BN",BS3 1BN,Southville,Sunday- Thursday 08:00- 00:00 Friday and Saturday 08:00 - 01:00,5,4,6,,1,"YES - Door: 95cm, Cubical: 200x160cm, Seat height: 44cm, Handrails.",N,N,Y during open times,Y,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.6008703511839233, 51.4411830760796]}","51.4411830761, -2.60087035118"
109,The Lounge Coffee Shop and Bar Ltd,167 Greystoke Avenue,BS10 6AS,Southmead,"Mon-Wed 9am -4pm, Thurs- Sat 9am-10:30pm  Sun 8-2pm",0,0,0,1,0,NONE,N,N,,N,N,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.602649023998223, 51.50331464836188]}","51.5033146484, -2.602649024"
962,Alma Tavern,"18-20 Alma Vale Road, Clifton, Bristol",BS8 2HY,Clifton Down,"Sunday-Thursday 12:00-23:00, Friday-Saturday 12:00-0:00, Sunday 12:00-23:00",1,4,3,,0,NONE,,,,,,,,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.614769362740064, 51.46252069845364]}","51.4625206985, -2.61476936274"
151,Cabot Circus Shopping Centre 3 floor management suite,"Glass House, Broadmead,BS1 3BX",BS1 3BX,Central,"Monday-Saturday 09:00-20:15, Sunday 09:00-17:30",7,13,24,0,5,"YES - 5 units, support rails, seat height is 36- 40cm, contracting skirting, non slip foor, non reflecting walls and floors",N,N,Y during open times,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.584743013730038, 51.45826825967909]}","51.4582682597, -2.58474301373"
596,Knowle West Media Centre,Linster Avenue,BS4 1NL,Filwood,Monday -Friday 9:30-17:00,2,,2,,1,YES - Door width 90cm. cubical size 150-210cm. Seat height 48cm.,N,N,Yes- during open times,N,Y,,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.593129767220259, 51.42547936338119]}","51.4254793634, -2.59312976722"
5474,Tenpin Bristol,St Phillips causeway,BS2 0SP,Lawrence Hill,"Monday-Friday 11am to 11pm, Saturday 10am to 11pm, Sunday 10am to 11pm",2,4,7,,1,"YES - Door width 85cm, Cubical 170 cm x180 cm, Hand rails, Accessible lock.",N,N,Monitored during operational hour,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.560194034424857, 51.44884529553361]}","51.4488452955, -2.56019403442"
9,"Greenbank Cemetery (The Lodge, Greenbank Road entrance)","Greenbank Road, Easton, Bristol",BS5 6HL,Eastville,"Monday-Friday 09:00-16:00, weekends and bank holidays 11:00-16:00",,,,1,0,NONE,N,N,No,N,N,N,N,N,Y,"{""type"": ""Point"", ""coordinates"": [-2.553696569115983, 51.468507446376435]}","51.4685074464, -2.55369656912"
47,Dundridge Public Conveniences,"Recreation Ground Dundridge Lane Bristol, BS5 8SZ",BS5 8SZ,St George Troopers Hill,During match play only,,,,,0,NONE,N,,,,,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.5287121592879, 51.44983008269952]}","51.4498300827, -2.52871215929"
625,Canford Cemetery and Crematorium,"Canford Lane, Westbury-on-Trym, Bristol",BS9 3PQ,Westbury-on-Trym & Henleaze,"Monday-Friday 09:00-16:00, weekends and bank holidays 11:00-16:00",0,0,0,1,1,"YES - Support rail moveable, door 85cm, cubicle 200 x 220cm, seat height 53cm, mirror, colour contrast skirting, non reflective wall, non-slip floor",N,N,Yes. During opening hours,N,N,N,N,N,Y,"{""type"": ""Point"", ""coordinates"": [-2.627003665275031, 51.494375023177895]}","51.4943750232, -2.62700366528"
2097,The Kitchen,"The Station, Silver Street, Bristol",BS1 2AG,Central,Monday-Saturday 09:00-15:00 Sunday closed,,,,1,1,YES,,,,,Y,,,,,"{""type"": ""Point"", ""coordinates"": [-2.592815064812643, 51.45744363725066]}","51.4574436373, -2.59281506481"
84,JD Weatherspoon - Van Dyck Forum,"Van Dyck Forum, 748-756 Fishponds Road",BS16 3UA,Frome Vale,Sunday - Thursday 08:00 - 00:00. Friday - Saturday 08:00- 01:00.,3,6,6,,1,"YES - Cubical size 200x140cm, Seat height 49cm, Handrails",N,N,Yes- during open times,Y,Y,N,N,,N,"{""type"": ""Point"", ""coordinates"": [-2.530237749350775, 51.47957671971242]}","51.4795767197, -2.53023774935"
116,Sainburys Winterstoke Road,111 Winterstoke Road,BS3 3NS,Bedminster,"Monday-Saturday 07:00-22:00, Sunday 10:00-16:00.",2,2,3,,1,"YES - Door width 90cm, Cubical size 229x229cm. Seat height: 48cm. Handrails",N,N,Yes - during open times,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.619350678609898, 51.43372481187929]}","51.4337248119, -2.61935067861"
118,Porto Lounge (business name is Lounges),765 Fishponds Road,BS16 3BS,Frome Vale,Monday - Sunday  9am -11pm,1,2,1,,1,YES,N,N,Yes,N,Y,Y,N,,Y,"{""type"": ""Point"", ""coordinates"": [-2.528116896029667, 51.481717307712685]}","51.4817173077, -2.52811689603"
142,Fishponds Library,"Robinson House, Hockeys Lane, Bristol",BS16 3HL,Eastville,"Monday-Tuesday 10am-5pm, Thursday 11am-7pm, Friday-Saturday 10am-5pm, Sunday closed.",,,,1,1,"YES - Single unit - unisex, Disabled access and Baby change",N,N,,N,Y,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.533123283547419, 51.477585475128706]}","51.4775854751, -2.53312328355"
143,Henbury library,"Crow Lane, Henbury, BS10 7DR",BS10 7DR,Henbury & Brentry,"11-5 Monday, 11-7 Wednesday, 11 - 5 Friday, 11 - 5 Saturday",,,,1,Yes,Level access,N,N,N,N,Y,N,N,N,N,"{""type"": ""Point"", ""coordinates"": [-2.619480201476522, 51.50968369538701]}","51.5096836954, -2.61948020148"
641,"Ambition Lawrence Weston, Lawrence Weston Youth Centre","Lawrence Weston Road, Long Cross, Bristol",BS11 0RX,Avonmouth & Lawrence Weston,Monday to Friday 09:00-16:00 with ad-hoc additional hours,,,,,1,"YES - Handrails, non slip floor, mirror",,,,,,,,,,"{""type"": ""Point"", ""coordinates"": [-2.653822353529556, 51.50494249175576]}","51.5049424918, -2.65382235353"
1745,Helios - Sea Mills Surgery,2 Riverleaze,BS9 2HL,Stoke Bishop,Monday-Friday 08:00-18:30,0,0,0,1,1,"YES - Moveable support rail, door 78cm, cubical 210 x 164cm, toilet height 45cm, non reflective wall/non-slip floor",N,Y,yes during opening hours,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.650086369413361, 51.48491192441396]}","51.4849119244, -2.65008636941"
2417,Merrywood Practice,"Knowle Health Park, Downton Road",BS4 1WH,Filwood,08:30-18:30 Monday-Friday,2,0,2,0,1,"YES - Support rails, cubicle size 200 x 150cm, door width 87cm, seat height 44cm, mirror, non reflective walls, non slip floor and accessible lock",N,Y,yes,N,Y,N,N,,Y,"{""type"": ""Point"", ""coordinates"": [-2.596459550962867, 51.42804682055827]}","51.4280468206, -2.59645955096"
70,Morrison's - Hartcliffe,"Hareclive Rd, Petersons Avenue, Hartcliffe",BS14 0BE,Hartcliffe & Withywood,7am - 10pm,2,3,3,,1,YES - Cubical size 140-200cm. Seat Height 48cm. handrails.,N,,Y during open hours,N,Y,N,N,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.599634281854772, 51.40520040398443]}","51.405200404, -2.59963428185"
5153,the Life Boat,"25 High St, Bristol",BS11 0DX,Avonmouth & Lawrence Weston,Monday - Saturday 10:00 - 23:00  Sunday 12:00 - 22:00,1,1,1,,0,None,N,N,,N,N,N,,Y,Y,"{""type"": ""Point"", ""coordinates"": [-2.675368178947804, 51.48900359480954]}","51.4890035948, -2.67536817895"
